Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2010","2010","tonnes","11027010","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2011","2011","tonnes","8388780","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2012","2012","tonnes","9069080","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2013","2013","tonnes","8616120","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2014","2014","tonnes","10079500","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2015","2015","tonnes","8724530","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2016","2016","tonnes","10167050","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2017","2017","tonnes","8084290","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2018","2018","tonnes","10152890","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2019","2019","tonnes","8396180","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2020","2020","tonnes","10322990","","Official data"
