Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","1999","1999","hg/ha","65753","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2000","2000","hg/ha","70397","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2001","2001","hg/ha","72807","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2002","2002","hg/ha","73730","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2003","2003","hg/ha","74759","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2004","2004","hg/ha","78328","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2005","2005","hg/ha","74245","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2006","2006","hg/ha","77313","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2007","2007","hg/ha","80917","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2008","2008","hg/ha","76731","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2009","2009","hg/ha","79413","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2010","2010","hg/ha","75375","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2011","2011","hg/ha","79209","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2012","2012","hg/ha","83651","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2013","2013","hg/ha","86232","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2014","2014","hg/ha","84919","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2015","2015","hg/ha","83722","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2016","2016","hg/ha","81121","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2017","2017","hg/ha","84147","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2018","2018","hg/ha","86213","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","83759","Fc","Calculated data"
"QCL","Crops and livestock products","231","United States of America","5419","Yield","27","Rice, paddy","2020","2020","hg/ha","85398","Fc","Calculated data"
